,indicator,importance
0,bodyweight,0.135654
1,meta_2123,0.0027472274
2,meta_3252,0.009627884
3,meta_3664,0.004513783
4,meta_3129,0.011371457
5,meta_3770,0.03239978
6,meta_3266,0.0034655307
7,meta_2953,0.0037413246
8,meta_1222,0.07107552
9,meta_3222,0.0072207525
10,meta_179,0.00690583
11,meta_44,0.007475595
12,meta_2467,0.0017734077
13,meta_1377,0.010583961
14,meta_1067,0.10952703
15,meta_1965,0.025846196
16,meta_3570,0.0017700065
17,meta_994,0.044544663
18,meta_145,0.03710652
19,meta_3204,0.05010819
20,meta_61,0.06088519
21,meta_3120,0.0047833817
22,meta_1293,0.031719826
23,meta_1013,0.11038989
24,meta_1778,0.042549286
25,meta_3699,0.014088634
26,meta_1400,0.023670979
27,meta_3831,0.018424615
28,meta_3037,0.007547083
29,meta_2078,0.006076426
30,meta_583,0.08749005
31,meta_3481,0.014915987
