,indicator,importance
0,g__Bilophila,0.00087619724
1,g__Desulfovibrio,0.00045854424
2,meta_2278,0.00864714
3,meta_2831,0.0019605053
4,meta_848,0.0011529666
5,meta_1263,0.019783752
6,meta_25,0.020304821
7,meta_2467,0.0009233454
8,meta_306,0.010011078
9,meta_2232,0.026886942
10,meta_1164,0.08422267
11,meta_3624,0.032659765
12,meta_1598,0.11910531
13,meta_3541,0.00960784
14,meta_1233,0.08015132
15,meta_87,0.027470266
16,meta_3656,0.009749138
17,meta_1599,0.0035481257
18,meta_2475,0.09206239
19,meta_3267,0.009034537
20,meta_2246,0.019918581
21,meta_513,0.17798331
22,meta_2394,0.0062828762
23,meta_3601,0.029456425
24,meta_1037,0.14812203
25,meta_428,0.045457833
26,meta_3125,0.014162323
