,indicator,importance
12,g__Candidatus_Arthromitus,0.13202089
11,g__Escherichia-Shigella,0.13097607
1,g__Eubacterium_oxidoreducens_group,0.0902197
6,g__Eubacterium_nodatum_group,0.08941445
5,g__Enterorhabdus,0.08930186
15,g__Longilinea,0.07530435
0,g__Butyricimonas,0.06048334
10,g__Brachyspira,0.0548403
4,g__Ruminococcaceae_UCG-004,0.050172865
2,g__Ruminiclostridium_9,0.04791817
3,g__Ruminococcaceae_UCG-010,0.044150606
8,g__Parabacteroides,0.043338645
14,g__Veillonella,0.027384551
7,g__Bacteroides,0.024011487
13,g__Desulfovibrio,0.022020152
9,g__Eubacterium_coprostanoligenes_group,0.01844255
