f__BIrii41,f__Streptococcaceae,f__Alcaligenaceae,f__Ruminococcaceae,f__Deferribacteraceae,f__Micrococcaceae,f__Bogoriellaceae,f__Corynebacteriaceae,f__Christensenellaceae,f__Brucellaceae,f__Pseudomonadaceae,f__Eubacteriaceae,f__Coriobacteriaceae,f__Cryomorphaceae,f__Halomonadaceae,f__MWH-CFBk5,f__Family_XI,f__Lactobacillaceae,f__Hahellaceae,f__Desulfovibrionaceae,f__Mitochondria,f__Caldicoprobacteraceae,f__Sphingobacteriaceae,f__Parachlamydiaceae,f__Nocardiopsaceae,f__Bradyrhizobiaceae,f__Methylococcaceae,f__Bacillaceae,f__Acidaminococcaceae,f__Veillonellaceae,f__Anaerolineaceae,f__Rhodospirillaceae,f__Brachyspiraceae,f__Neisseriaceae,f__Bacteroidaceae,f__Enterococcaceae,f__Peptostreptococcaceae,f__Pasteurellaceae,f__Erysipelotrichaceae,f__Limnochordaceae,f__Helicobacteraceae,f__Clostridiales_vadinBB60_group,f__Cytophagaceae,f__Haloplasmataceae,f__Anaeroplasmataceae,f__Thermomonosporaceae,f__Comamonadaceae,f__Xanthomonadaceae,f__Lachnospiraceae,f__Idiomarinaceae,f__Synergistaceae,f__Verrucomicrobiaceae,f__Flavobacteriaceae,f__Leuconostocaceae,f__Bacteroidales_S24-7_group,f__Unknown_Family,f__Rikenellaceae,f__Aerococcaceae,f__Bifidobacteriaceae,f__Paenibacillaceae,f__Pseudonocardiaceae,f__wallaby_gut_metagenome,f__Staphylococcaceae,f__Planococcaceae,f__Porphyromonadaceae,f__Alcanivoracaceae,f__Peptococcaceae,f__Microbacteriaceae,f__Carnobacteriaceae,f__Family_XIII,f__Enterobacteriaceae,f__unidentified,f__Triticum_aestivum_bread_wheat,f__Defluviitaleaceae,f__Clostridiaceae_1,f__Moraxellaceae,f__Mycoplasmataceae,f__Rhizobiaceae,f__Rs-E47_termite_group,f__Prevotellaceae
0,0.000924464,0.002195601,0.105735526,0.002465236,0,0,7.70E-05,0.000423712,0,0,0.000115558,0.005238627,0,0,0,0,0.147798621,0,0.00392897,0,0,0,0,0,0,0,0.000115558,0,0,0,3.85E-05,0,0,0.009937984,0.001733369,0,0,0.041485305,0,0.009937984,0.000115558,0,0,0.000500751,0,0,0.000115558,0.306035977,0,0,0.036785948,0.000308155,0,0.276337583,0.001502253,0.002349678,0,0.000500751,0,0,0,3.85E-05,0,0.001463734,0,0.004776395,0,0,0.001656331,0.002965987,0.002503756,0,0,0.000346674,0,0.001463734,0,0,0.028080582
0,0.003351181,0.006278649,0.073109664,0.000192597,0,0,0,0.001309657,0,0.000115558,0,0.002041524,0,0,0,7.70E-05,0.108624475,0,0.002580794,0.000192597,0,0,0,0,0,0,0,0,0,0,0.000616309,0,0,0.055660414,0.005238627,0,0,0.070336274,0,0.000770386,0.000423712,0,0,0.001348176,0,0,3.85E-05,0.18678017,0,0,0.011671353,0.001540773,0.000115558,0.292361619,0.000423712,0.009745387,0,0.00111706,0,0,0,0.000308155,0,0.015600324,0,0.001848927,0,0,0.000462232,0.017988521,0.004660837,0.000115558,0,0.001194099,3.85E-05,0,0,0,0.121721043
0,0.006394207,0.001810408,0.04006009,0,0.000269635,0,3.85E-05,0.000693348,0,3.85E-05,0,0.003890451,0,0,0,0,0.630176033,0,0.002349678,3.85E-05,0,0,0,0,0,0,0.000654828,0,0,0,7.70E-05,0,0,0.003505258,0.008320173,0,0,0.073995609,0,0.000308155,7.70E-05,0,0,3.85E-05,0,3.85E-05,0.000115558,0.144177805,0,0,0.017179616,0,3.85E-05,0.02992951,3.85E-05,0.001348176,0.000231116,0.008435731,0,0,0,0.00053927,0,0.001617811,0,0.000385193,0,0.000231116,0.001001502,0.015061053,0.003697854,3.85E-05,0,0.000346674,7.70E-05,3.85E-05,0,0,0.002696352
0,0.000231116,0.010554293,0.107661492,0.004968992,3.85E-05,0,0,0.000154077,0,3.85E-05,3.85E-05,0.005739378,0,0,0,0,0.108701514,0,0.007241632,7.70E-05,0,0,0,0,0,0,3.85E-05,0,0,0,0.00053927,0,0,0.026424252,7.70E-05,0,0,0.055159663,0,0.021609337,0.000154077,0,0,0.001502253,0,7.70E-05,0,0.403528369,0,0,0,0.000462232,0,0.185008282,0.001309657,0.002965987,0,0.010477254,0,0,0,0,0,0.012711375,0,0.002465236,0,0,0.001194099,0.001463734,0.005546782,3.85E-05,0,0,3.85E-05,0.002041524,0,0.000192597,0.019529294
0,0.000924464,0.004468241,0.060321251,0.000115558,7.70E-05,0,0,0.000115558,0,0.000269635,3.85E-05,0.003004507,0,0,0,0,0.223219445,0,0.003659335,0.000269635,0,0,0,0,0,0,0.000462232,0,0,0,0.000269635,0,0,0.029544316,0.000308155,0,0,0.072146682,3.85E-05,0.002657833,0.001964485,0,0,0.001425215,3.85E-05,0.00169485,0.000154077,0.161472979,0,0,0,0.000847425,0,0.249104426,0.001271137,0.01128616,0,0.0360926,0,0,0,0,0.000423712,0.015099572,0,0.00115558,0,7.70E-05,0.00053927,0.004853434,0.004121567,0.000231116,0,3.85E-05,0.000154077,0.00227264,0,0.000770386,0.103000655
0,0.001309657,0.002696352,0.119641,0.004814915,0.000154077,0,0,0.000231116,3.85E-05,0.000808906,0,0.003428219,0,0,0,0,0.047070606,0,0.016871461,0,0,0,0,0,0,0,3.85E-05,0,0,0,0.000269635,0,0,0.048495821,0.000462232,0,0,0.034821463,0,0.022841955,0.00111706,0,0,0.003736374,0,0.006740881,0.000192597,0.323215593,0,0,0,0.003004507,0,0.21501483,0.000847425,0.01579292,0,0.000731867,0,0,0,7.70E-05,0.000385193,0.021108586,0,0.004891953,0,7.70E-05,0.001656331,0.020530796,0.013135087,0,0,0,0.000462232,0.002503756,0,0.000693348,0.060090135
0,0.002080043,0.001771889,0.099610955,0.000154077,7.70E-05,0,0,7.70E-05,0,0.000308155,3.85E-05,0.002965987,0,0,0,7.70E-05,0.079388313,0,0.007588306,3.85E-05,0,0,0,0,0,0,7.70E-05,0,0,0,0.000231116,0,0,0.043295713,0.000808906,0,0,0.03158584,0,0.000616309,0.000115558,0,0,0.001964485,0,0.003158584,0.000269635,0.312199068,0,0,0,0.000924464,0,0.213242941,0.001964485,0.010207619,0,0.00731867,0,0,3.85E-05,7.70E-05,3.85E-05,0.016293671,0,0.005238627,0,7.70E-05,0.000462232,0.012903971,0.006817919,7.70E-05,0,0,0.000269635,0.003659335,0,0.000847425,0.131042718
0,0.000462232,0.004429722,0.06887254,0.000154077,0,0,0,0.000231116,0,0.000231116,0.000115558,0.002426717,0,0,0,3.85E-05,0.076422326,0,0.010284658,0,0,0,0,0,0,0,0,0,0,0,3.85E-05,0,0,0.094064173,0.000500751,0,0,0.012672855,0,0.005816417,0.000500751,0,0,0.001925966,0,0.001733369,7.70E-05,0.337313663,0,0,0,0.001964485,0,0.191672124,0.002388198,0.010015023,0,0.007626825,0,0,0,0,0,0.017911483,0,0.002580794,0,0,0.000770386,0.006894958,0.009706868,3.85E-05,0,0,0.000115558,0.00057779,0,0.001617811,0.127807095
0,0.000654828,0.004044528,0.077847541,0.001733369,0,0,3.85E-05,0.000231116,0,0,0,0.002503756,0,0,0,0,0.1433689,0,0.012749894,3.85E-05,0,0,0,0,0,0,7.70E-05,0,0.002118562,0,0.002657833,0,0,0.04233273,0.001309657,0,3.85E-05,0.007087554,0,0.036901506,0.004545279,0,0,0.003851932,0,0,0,0.181618582,0,0,0,3.85E-05,0,0.307692308,0.000962983,0.01976041,0.000192597,0,0,0,0,0.007434228,0,0.017218135,0,0.001271137,0,0,0.001848927,0.001848927,0.016794422,0,0,0.000731867,0.001194099,0.002657833,0,0,0.094603444
0,0.002850429,0.003120065,0.057663418,0.000847425,0,0,0,0.000231116,0,0,3.85E-05,0.002927468,0,0,0,0.000154077,0.079889064,0,0.014791418,7.70E-05,0.000192597,0,0,0,0,0,0.000115558,0,0,0,0.006663842,0,0,0.075382304,0.000500751,0.014136589,0,0.010246138,0,0.068679943,0,0,0,0.000154077,0,0,0,0.112052694,0,0,0.003274142,0.00057779,0,0.330495744,3.85E-05,0.030738415,0,0.001271137,0,0,0,0.000192597,0,0.067909557,0,0.004237125,0,0,0.001232618,0,0.015985517,0,0,0.002619314,0,0.001348176,0,0,0.089364816
