,0
meta_2021,0.29765433
meta_2506,0.06679459
meta_2255,0.059759308
meta_853,0.036654945
meta_680,0.029203525
meta_2667,0.02809912
meta_133,0.018051893
g__Enterococcus,0.018020589
meta_2162,0.014559084
meta_1589,0.014383274
g__Mucispirillum,0.013407508
meta_942,0.013048273
meta_300,0.012036511
meta_3586,0.011640119
meta_1287,0.0103411665
meta_3452,0.010051825
meta_474,0.009675997
meta_3192,0.008836432
meta_1308,0.006092385
meta_3496,0.0033758918
meta_2812,0.0024761425
meta_2481,0.0017901289
bodyweight,0.0013991676
