,0
meta_2506,0.74241084
meta_1266,0.117563285
meta_3277,0.075743206
meta_228,0.044815004
meta_2242,0.040844075
g__Bifidobacterium,0.040242407
g__Aerococcus,0.039688937
meta_3549,0.037924454
meta_3836,0.0379126
meta_926,0.03463283
meta_2673,0.030137543
meta_891,0.029293345
g__Family_XIII_AD3011_group,0.026189836
meta_2348,0.02549847
meta_468,0.023785643
g__Peptococcus,0.02063214
meta_1461,0.018665183
meta_2991,0.017506517
meta_3320,0.017211473
meta_2123,0.015872242
meta_1078,0.0134400055
meta_3506,0.013328172
meta_2132,0.008708849
meta_145,0.008586764
meta_1526,0.006308852
meta_1948,0.006218584
meta_2099,0.005419487
meta_503,0.0054083075
meta_55,0.004747046
meta_1450,0.0017107488
bodyweight,0.0
