,0
g__Clostridium_innocuum_group,0.060232926
meta_48,0.04044692
g__Escherichia-Shigella,0.027963066
meta_95,0.020304894
meta_959,0.01898696
meta_3773,0.016810313
meta_1263,0.01313407
meta_3264,0.012367275
meta_1387,0.011794818
meta_2958,0.009839767
meta_3200,0.0075928727
meta_2935,0.0074686646
meta_3267,0.005773846
meta_691,0.0057464587
g__Bilophila,0.005274615
meta_80,0.0048413603
meta_1733,0.0044658217
meta_2451,0.004405128
meta_2636,0.0039599393
meta_1373,0.003072496
meta_464,0.0024733439
meta_2655,0.0024696055
g__Ruminococcaceae_UCG-013,0.0020102372
meta_2446,0.0019399922
meta_889,0.0019036367
meta_428,0.0018509775
meta_1699,0.0018093168
meta_2363,0.0016110319
meta_3836,0.0014835267
meta_1233,0.0012432887
meta_848,0.0011841342
meta_2475,0.0009120145
meta_1598,0.00054977275
meta_1037,0.0005326185
