,0
meta_3578,0.12287727
meta_3180,0.09111505
meta_518,0.023785174
meta_3043,0.020653872
meta_1965,0.018789599
meta_2956,0.016706081
meta_2568,0.011391377
meta_358,0.01109216
meta_1571,0.010679334
meta_2137,0.010652677
meta_1620,0.010586624
meta_509,0.0099497065
g__Peptococcus,0.009315057
meta_2078,0.007970007
meta_2258,0.0067884545
meta_3016,0.0053249206
meta_1574,0.005119107
g__Oscillibacter,0.004925397
meta_1501,0.0046211677
meta_853,0.0045825965
g__Lactococcus,0.0033613518
meta_1400,0.0026338957
meta_1222,0.0025579021
meta_2123,0.0021220604
meta_2473,0.0016951985
meta_2433,0.0015143458
meta_41,0.0014085884
meta_295,0.0012064979
meta_91,0.0010505829
meta_3142,0.0009112374
meta_1293,0.0007170916
meta_25,0.0006543725
bodyweight,0.00015885712
