,indicator,importance
0,(8)-Gingerol,0.12927374
1,ID,0.082616486
2,Endothion,0.07689065
3,Cinnamodial,0.06470407
4,f__Rs-E47_termite_group,0.063843265
5,Cytochalasin B,0.05716122
6,Dihydropteroic acid,0.056751147
7,protein,0.05639188
8,g__Raoultella,0.045787174
9,Allosamidine,0.04090452
10,Nupharidine,0.035421964
