,indicator,importance
0,bodyweight,0.21360621
15,meta_145,0.14461996
13,meta_1965,0.09557948
17,meta_61,0.078694806
21,meta_1778,0.057108305
22,meta_3699,0.051172845
16,meta_3204,0.042668372
27,meta_583,0.039508637
19,meta_1293,0.03908109
3,meta_3129,0.035482842
12,meta_1067,0.033601336
8,meta_3222,0.030136982
5,meta_3266,0.026288684
7,meta_1222,0.025537165
28,meta_3481,0.013978362
23,meta_1400,0.012637715
1,meta_2123,0.007626905
6,meta_2953,0.00753726
18,meta_3120,0.006630521
2,meta_3252,0.006456375
9,meta_44,0.00574641
11,meta_1377,0.005248619
14,meta_3570,0.005041822
26,meta_2078,0.005011415
20,meta_1013,0.004766659
10,meta_2467,0.004139021
25,meta_3037,0.000972838
4,meta_3770,0.00096127
24,meta_3831,0.000157978
