,indicator,importance
22,meta_1037,0.23811917
16,meta_2475,0.1548836
11,meta_1598,0.10326314
9,meta_1164,0.084295884
21,meta_3601,0.070369564
4,meta_848,0.051025163
19,meta_513,0.04092551
17,meta_3267,0.037995838
13,meta_1233,0.028701365
14,meta_87,0.024405915
5,meta_1263,0.02407006
12,meta_3541,0.020910231
10,meta_3624,0.02013726
8,meta_306,0.019518755
2,meta_2278,0.015791994
23,meta_428,0.012304516
3,meta_2831,0.010882333
7,meta_2467,0.010430221
18,meta_2246,0.008485866
15,meta_1599,0.006462769
1,g__Desulfovibrio,0.006040893
0,g__Bilophila,0.005175796
6,meta_25,0.004640023
20,meta_2394,0.001164153
