,indicator,importance
19,meta_2022,0.24657774
28,meta_1526,0.17550613
0,bodyweight,0.13391808
30,meta_2506,0.09770975
24,meta_1298,0.07998761
27,meta_3698,0.06477812
29,meta_2242,0.05858907
8,meta_2519,0.027885688
22,meta_2348,0.014415872
7,meta_3048,0.014132571
14,meta_2287,0.013484721
11,meta_736,0.01248275
3,g__Eubacterium_fissicatena_group,0.012340857
10,meta_3805,0.012126534
9,meta_3524,0.008411505
4,g__Rikenella,0.004350368
21,meta_1673,0.004264585
2,g__Coriobacteriaceae_UCG-002,0.0034727
25,meta_1411,0.003338373
18,meta_2892,0.002114731
15,meta_2606,0.001926896
1,g__Staphylococcus,0.001797866
6,meta_3045,0.001552287
12,meta_358,0.001518264
16,meta_3217,0.001455076
23,meta_2153,0.001435673
26,meta_1771,0.000183537
17,meta_1245,0.00017371
5,meta_67,6.89E-05
13,meta_55,0
20,meta_2862,0
