,indicator,importance
20,meta_474,0.28820288
2,g__Gemella,0.1245639
6,meta_295,0.08036423
0,bodyweight,0.07822603
13,meta_3347,0.07586991
19,meta_3056,0.037621617
12,meta_3685,0.036183506
10,meta_3496,0.03586517
25,meta_2242,0.028905371
21,meta_475,0.022755546
17,meta_2700,0.022646287
14,meta_3018,0.021541752
15,meta_3559,0.021515913
24,meta_1280,0.02010285
16,meta_1431,0.018147038
18,meta_2864,0.015123984
22,meta_1065,0.011513764
8,meta_732,0.010433692
27,meta_2173,0.009302734
3,meta_2753,0.008460766
5,meta_143,0.008121961
7,meta_710,0.006554747
11,meta_734,0.006252708
9,meta_168,0.00536141
4,meta_2812,0.002204706
1,g__Coriobacteriaceae_UCG-002,0.002162357
26,meta_1680,0.001927101
23,meta_1956,6.80E-05
