,indicator,importance
20,meta_2971,0.1324252
7,meta_2879,0.1305003
2,g__Eubacterium_nodatum_group,0.091049105
16,meta_379,0.089591615
12,meta_1222,0.06677722
14,meta_37,0.05238814
23,meta_3416,0.050192107
26,meta_3078,0.0445813
29,meta_3675,0.03565481
28,meta_2987,0.032211814
27,meta_706,0.02905159
25,meta_3246,0.02871489
15,meta_3282,0.02847457
17,meta_605,0.02845334
24,meta_1412,0.028318647
21,meta_137,0.020142384
19,meta_302,0.014741698
18,meta_1751,0.013423361
11,meta_2855,0.012184879
10,meta_3625,0.012030746
22,meta_58,0.010869611
8,meta_1874,0.009921269
6,meta_3269,0.007660175
13,meta_972,0.007531751
3,meta_132,0.006660265
9,meta_3595,0.005129825
0,g__Staphylococcus,0.004719203
1,g__Blautia,0.003239559
4,meta_3688,0.002148657
5,meta_887,0.001211883
