,0
meta_3815,0.20235905
meta_2555,0.09645294
meta_1051,0.04787156
meta_1408,0.038760226
meta_3535,0.030278765
meta_12,0.0296326
meta_2698,0.021837357
meta_847,0.020837294
meta_428,0.01698507
meta_1194,0.0158533
meta_2750,0.014128144
meta_2879,0.01302609
meta_945,0.011796748
meta_2604,0.009562876
meta_650,0.008826687
meta_1382,0.006486783
meta_525,0.005649709
meta_2430,0.005278348
meta_3181,0.0039734035
meta_3667,0.0021898593
meta_3220,0.0020493187
meta_545,0.0020039107
meta_854,0.00063993566
