,0
meta_2965,0.47627163
meta_1507,0.14383498
meta_3252,0.103495695
meta_3886,0.08723705
meta_583,0.07014306
meta_1270,0.06956098
meta_2096,0.06619853
meta_2377,0.06317017
meta_460,0.05352399
meta_2506,0.050125368
meta_3581,0.048589572
meta_3096,0.047434233
meta_2667,0.040339723
meta_2592,0.039318442
meta_530,0.037985146
meta_735,0.03464757
meta_3670,0.033638023
meta_475,0.030745035
meta_1448,0.030607466
meta_3029,0.030119713
meta_3816,0.025503952
meta_2673,0.022704527
meta_3563,0.018822655
meta_2078,0.018187301
meta_3079,0.014951699
meta_2955,0.011575027
meta_1526,0.0091184685
meta_646,0.008629924
meta_887,0.008445932
meta_3048,0.0083595095
meta_183,0.0076409383
meta_1510,0.007439947
meta_2563,0.007094242
meta_1308,0.004799478
meta_1521,0.0046544764
meta_1814,0.0045128153
meta_3698,0.004342647
meta_858,0.0019365053
meta_3347,0.0
