,0
meta_2340,0.1053066
meta_567,0.045775034
meta_1778,0.044981617
meta_1284,0.029976996
meta_2242,0.024028555
meta_2018,0.020848554
meta_2042,0.01766598
meta_3494,0.014039877
meta_1378,0.012823199
meta_3220,0.010022732
meta_1256,0.008895524
meta_1880,0.008450665
meta_736,0.007419591
meta_2653,0.0065643056
meta_2953,0.0055955867
meta_3458,0.004687439
meta_3578,0.0044932636
meta_968,0.004379334
meta_2078,0.0041846493
meta_1181,0.004046193
meta_307,0.0038401328
meta_183,0.002650836
meta_145,0.0023389342
meta_965,0.0017292534
meta_3247,0.0016936732
meta_41,0.001676931
meta_295,0.0015987739
meta_2776,0.0015551352
meta_250,0.00085547054
meta_3540,0.0006905495
meta_42,0.0003013045
meta_2433,0.00025954843
meta_2701,0.00020578306
meta_1013,0.00012782482
meta_91,0.0
meta_3347,0.0
