,indicator,importance
12,meta_2592,0.2785562
15,meta_2022,0.19264285
14,meta_3347,0.119411685
30,meta_1526,0.10351052
18,meta_54,0.07623772
26,meta_1814,0.04727563
17,meta_1298,0.033141397
24,meta_100,0.027562464
4,meta_887,0.018301515
27,meta_1920,0.01641805
36,meta_2506,0.013976655
13,meta_3217,0.011400517
20,meta_2700,0.01059025
32,meta_3246,0.008541469
1,g__Rikenella,0.007624476
6,meta_2519,0.005428083
10,meta_736,0.004683812
11,meta_654,0.003490362
29,meta_513,0.003416361
9,meta_2154,0.002410932
2,g__Intestinimonas,0.002158023
35,meta_2078,0.002073796
3,meta_848,0.002045271
8,meta_3299,0.001405267
19,meta_942,0.001260123
0,g__Eubacterium_brachy_group,0.001175707
37,meta_3515,0.000889088
21,meta_3091,0.000689853
31,meta_3837,0.000639923
5,meta_224,0.000600704
28,meta_1483,0.000588404
25,meta_475,0.000519868
16,meta_2745,0.00042739
22,meta_3056,0.000380337
23,meta_1411,0.000253088
34,meta_3498,0.000188955
7,meta_3726,7.68E-05
33,meta_3399,6.40E-06
