,0
g__Sutterella,0.21967334
g__Candidatus_Saccharimonas,0.06848607
g__Intestinimonas,0.06396686
g__Gemella,0.04997561
g__Corynebacterium,0.04387762
g__Raoultella,0.03108175
g__Ruminiclostridium,0.028779259
g__Faecalibaculum,0.028268918
g__Rikenellaceae_RC9_gut_group,0.023644175
g__Lachnospiraceae_UCG-001,0.022739207
g__Alloprevotella,0.016568296
g__Lachnospiraceae_FCS020_group,0.016224727
g__Parvibacter,0.0105458
g__Peptococcus,0.0073032365
g__Eubacterium_fissicatena_group,0.0046964353
g__Butyricimonas,0.0033111705
