,0
g__Ruminococcaceae_UCG-009,0.036250472
g__Stenotrophomonas,0.03451849
g__Bacteroides,0.02971728
g__Desulfovibrio,0.026500765
g__Intestinimonas,0.014291135
g__Eubacterium_coprostanoligenes_group,0.012470162
g__Candidatus_Saccharimonas,0.006180459
g__Butyricimonas,0.0059940442
g__Ruminococcaceae_UCG-013,0.004964562
g__Parabacteroides,0.0042097233
g__Lachnospiraceae_NK4A136_group,0.0
g__mouse_gut_metagenome,0.0
g__Raoultella,0.0
g__Enterorhabdus,0.0
g__Candidatus_Arthromitus,0.0
