,indicator,importance
0,g__Petrimonas,0.026668867
1,g__Eisenbergiella,0.023764053
2,g__Peptococcus,0.0143744
3,g__Prevotellaceae_UCG-001,0.403344
4,g__Proteus,0.08937988
5,g__Ruminiclostridium_9,0.012713277
6,g__Ruminiclostridium,0.062666014
7,g__Mucispirillum,0.0049433527
8,g__Paeniclostridium,0.07768903
9,g__Eubacterium_nodatum_group,0.0129260775
10,g__Eubacterium_coprostanoligenes_group,0.0797885
11,g__Rikenella,0.021607606
12,g__Subdoligranulum,0.043491866
13,g__Family_XIII_UCG-001,0.021583539
14,g__Akkermansia,0.051034395
15,g__Family_XIII_AD3011_group,0.054025196
