,indicator,importance
22,meta_3578,0.22915103
9,meta_736,0.19011857
23,meta_3347,0.1283178
20,meta_3220,0.054698545
30,meta_2701,0.053867236
24,meta_145,0.045874365
13,meta_91,0.04515062
34,meta_41,0.024812061
39,meta_2433,0.023879996
31,meta_1013,0.021747485
16,meta_252,0.017610906
27,meta_42,0.017443074
40,meta_640,0.01492244
10,meta_3254,0.011488706
6,meta_1256,0.011431642
2,meta_3016,0.010469457
29,meta_178,0.010405585
36,meta_1176,0.009156786
35,meta_2563,0.007670343
18,meta_2673,0.007265267
25,meta_3701,0.007051941
38,meta_2340,0.005436183
14,meta_3222,0.005262113
8,meta_2096,0.005019176
26,meta_54,0.00482779
4,meta_2783,0.004624372
32,meta_3079,0.00453036
37,meta_576,0.003875159
28,meta_521,0.003866891
3,meta_1903,0.003707873
33,meta_1037,0.003032014
0,meta_2123,0.002263454
15,meta_925,0.002037497
21,meta_1335,0.002008255
17,meta_294,0.001885666
7,meta_734,0.001817875
1,meta_1329,0.001154863
5,meta_422,0.000836377
12,meta_1571,0.000798388
11,meta_3247,0.000397566
19,meta_961,8.43E-05
