,indicator,importance
0,g__Delftia,0.0044623986
1,g__Bilophila,0.0009759993
2,g__Desulfovibrio,0.001985679
3,meta_2278,0.0030063745
4,meta_2831,0.001031951
5,meta_848,0.000770631
6,meta_1263,0.008309792
7,meta_25,0.017869413
8,meta_2467,0.0009408179
9,meta_306,0.008231867
10,meta_2232,0.015280829
11,meta_1164,0.054356053
12,meta_3624,0.022732055
13,meta_1598,0.10056128
14,meta_3541,0.0010138165
15,meta_1233,0.043615784
16,meta_87,0.016526723
17,meta_3656,0.0086954795
18,meta_1599,0.0038395536
19,meta_2475,0.037707716
20,meta_3267,0.0059851813
21,meta_2246,0.013249362
22,meta_513,0.37149453
23,meta_2394,0.0027469322
24,meta_3601,0.02616686
25,meta_1037,0.18649437
26,meta_428,0.03104912
27,meta_3125,0.010899357
