,indicator,importance
0,g__Blautia,0.0020825446
1,g__Lachnospiraceae_UCG-006,0.027169235
2,g__Eubacterium_nodatum_group,0.16474618
3,meta_132,0.04220137
4,meta_3688,0.002491955
5,meta_887,0.0059261625
6,meta_3269,0.0021886036
7,meta_2879,0.05707252
8,meta_1874,0.049035348
9,meta_3595,0.016995434
10,meta_3625,0.0004169218
11,meta_2855,0.010785459
12,meta_1222,0.03321517
13,meta_972,0.023130381
14,meta_37,0.00064805127
15,meta_3282,0.001263854
16,meta_379,0.22557458
17,meta_605,0.082733385
18,meta_1751,0.015133245
19,meta_1314,0.006476549
20,meta_302,0.010940618
21,meta_2971,0.006283758
22,meta_137,0.0032887927
23,meta_58,0.053775128
24,meta_3416,0.0022300524
25,meta_1412,0.015985716
26,meta_3246,0.008407531
27,meta_3078,0.0009030879
28,meta_706,0.030535456
29,meta_2987,0.06882009
30,meta_3675,0.029542841
