,0
meta_2506,0.43513945
meta_2965,0.15679212
meta_1507,0.10381917
meta_3096,0.084412724
meta_3886,0.07335845
meta_2592,0.06926526
meta_2667,0.06142723
g__Aerococcus,0.061234325
meta_530,0.05164649
meta_1270,0.049876135
meta_735,0.045026634
meta_3670,0.041486003
meta_583,0.03963101
g__Ruminiclostridium_6,0.03593066
meta_2377,0.03581329
meta_3816,0.035327278
meta_475,0.03459591
meta_2078,0.03241119
meta_1448,0.022838324
meta_2673,0.022361321
meta_2955,0.020577792
meta_3563,0.020076565
meta_1526,0.018704453
meta_3079,0.014506266
meta_3029,0.014377392
meta_646,0.010651856
meta_183,0.010342645
meta_3048,0.008290562
meta_887,0.007736526
meta_2563,0.0074793533
meta_1510,0.007413046
meta_1308,0.0060365214
meta_1521,0.004733733
meta_1814,0.004029355
meta_3698,0.0
meta_858,0.0
meta_3347,0.0
