,0
meta_48,0.06047723
g__Clostridium_innocuum_group,0.041156977
meta_959,0.028640568
meta_3773,0.020709757
meta_3264,0.019390265
meta_1263,0.01799424
meta_2935,0.014863234
meta_95,0.014461976
meta_2958,0.009061792
meta_3200,0.008877213
meta_1387,0.0077692065
meta_3267,0.0071895123
g__Escherichia-Shigella,0.006615399
meta_691,0.00602536
meta_1733,0.0055067157
meta_2636,0.0048296233
meta_2451,0.0047254073
meta_464,0.003958512
meta_80,0.0036505852
meta_2655,0.003519323
meta_2446,0.0025624956
meta_1373,0.0024929035
meta_1699,0.0023460821
meta_2363,0.0022016377
meta_889,0.0019373086
meta_428,0.0016591878
meta_3836,0.00145334
meta_848,0.0011937565
meta_1233,0.0006858577
meta_2475,0.00054152415
meta_1598,0.00046691386
meta_1037,0.00041294706
