,0
meta_2242,0.12650003
meta_2340,0.04243766
meta_3578,0.038950413
meta_2042,0.03351364
meta_2653,0.019429985
meta_229,0.017231101
meta_1778,0.01620528
meta_3300,0.013558145
meta_1378,0.012620981
meta_3494,0.012478127
meta_1256,0.010897738
meta_3220,0.008758718
meta_2018,0.007835294
meta_1284,0.006657517
meta_736,0.006534209
meta_1880,0.006286909
g__Gemella,0.004814651
meta_2953,0.0044870293
meta_567,0.003940144
meta_2078,0.0033349544
meta_1181,0.0029813596
g__Oscillibacter,0.0024066432
meta_295,0.0020798314
meta_145,0.0016950443
meta_160,0.0016003099
g__Bilophila,0.0013673184
meta_968,0.0013404913
meta_41,0.0012350822
meta_2401,0.0012241822
meta_2776,0.0011470236
meta_3247,0.0009697966
meta_3540,0.00081797293
meta_250,0.00074873184
meta_42,0.00073324906
meta_2433,0.0005027299
meta_2701,0.00044325684
meta_91,0.0
meta_1013,0.0
meta_3347,0.0
